step,t,car,x,y,yaw_deg,heading_err_deg,progress_cum,lateral,speed,throttle,steer,gap_ahead
83,5.533,A,14.047,0.210,-6.3,-6.3,14.047,0.210,4.493,1.000,0.963,-4.787
83,5.533,B,18.834,-0.157,1.7,1.7,18.834,-0.157,5.877,1.000,-0.116,4.787
84,5.600,A,14.347,0.194,-5.3,-5.3,14.347,0.194,4.500,1.000,0.664,-4.879
84,5.600,B,19.226,-0.138,2.1,2.1,19.226,-0.138,5.882,1.000,-0.024,4.879
85,5.667,A,14.648,0.193,-3.7,-3.7,14.648,0.193,4.512,1.000,-0.041,-4.973
85,5.667,B,19.621,-0.126,1.9,1.9,19.621,-0.126,5.976,1.000,-0.072,4.973
86,5.733,A,14.951,0.198,-2.3,-2.3,14.951,0.198,4.552,1.000,-0.366,-5.059
86,5.733,B,20.019,-0.119,1.6,-2.9,20.009,-0.120,5.958,1.000,1.000,5.059
87,5.800,A,15.256,0.193,-2.0,-2.0,15.256,0.193,4.581,0.875,-0.067,-5.150
87,5.800,B,20.416,-0.109,1.5,-3.0,20.406,-0.141,5.956,1.000,1.000,5.150
88,5.867,A,15.564,0.179,-2.2,-2.2,15.564,0.179,4.674,0.870,-0.006,-5.238
88,5.867,B,20.812,-0.088,2.1,-2.4,20.802,-0.152,5.941,1.000,1.000,5.238
89,5.933,A,15.880,0.164,-2.3,-2.3,15.880,0.164,4.793,0.890,-0.067,-5.292
89,5.933,B,21.206,-0.052,3.3,-10.2,21.172,-0.185,5.928,1.000,1.000,5.292
90,6.000,A,16.204,0.148,-2.5,-2.5,16.203,0.148,4.906,0.876,-0.041,-5.362
90,6.000,B,21.598,0.001,5.0,-8.5,21.565,-0.225,5.915,1.000,1.000,5.362
91,6.067,A,16.536,0.129,-2.7,-2.7,16.536,0.129,5.041,0.887,-0.100,-5.384
91,6.067,B,21.986,0.070,6.9,-15.6,21.919,-0.257,5.903,1.000,1.000,5.384
92,6.133,A,16.874,0.106,-3.2,-3.2,16.874,0.106,5.131,0.873,-0.032,-5.434
92,6.133,B,22.371,0.157,9.2,-13.3,22.308,-0.324,5.892,1.000,1.000,5.434
93,6.200,A,17.217,0.081,-3.5,-3.5,17.217,0.081,5.196,1.000,1.000,-5.482
93,6.200,B,22.750,0.263,11.6,-10.9,22.699,-0.372,5.883,1.000,1.000,5.482
94,6.267,A,17.563,0.064,-3.2,-3.2,17.563,0.064,5.200,1.000,1.000,-5.462
94,6.267,B,23.124,0.387,14.2,-17.3,23.026,-0.437,5.875,1.000,1.000,5.462
95,6.333,A,17.910,0.057,-2.4,-2.4,17.910,0.057,5.197,1.000,1.000,-5.503
95,6.333,B,23.490,0.530,16.9,-14.6,23.413,-0.506,5.868,1.000,1.000,5.503
96,6.400,A,18.257,0.067,-1.0,-1.0,18.257,0.067,5.195,1.000,1.000,-5.509
96,6.400,B,23.848,0.691,19.7,-11.8,23.766,-0.557,5.861,1.000,1.000,5.509
97,6.467,A,18.603,0.093,0.8,0.8,18.603,0.093,5.191,1.000,-0.139,-5.494
97,6.467,B,24.197,0.871,22.6,-17.9,24.097,-0.644,5.856,1.000,1.000,5.494
98,6.533,A,18.949,0.126,2.4,2.4,18.949,0.126,5.217,1.000,1.000,-5.534
98,6.533,B,24.536,1.069,25.5,-15.0,24.483,-0.714,5.851,1.000,1.000,5.534
99,6.600,A,19.294,0.168,4.0,4.0,19.294,0.168,5.211,1.000,-0.475,-5.457
99,6.600,B,24.863,1.285,28.5,-21.0,24.751,-0.779,5.847,1.000,1.000,5.457
100,6.667,A,19.641,0.209,5.0,5.0,19.641,0.209,5.241,1.000,-0.479,-5.492
100,6.667,B,25.178,1.517,31.5,-18.0,25.133,-0.867,5.843,1.000,1.000,5.492
101,6.733,A,19.989,0.242,5.0,5.0,19.989,0.242,5.254,1.000,0.125,-5.529
101,6.733,B,25.480,1.767,34.6,-14.9,25.519,-0.935,5.840,1.000,1.000,5.529
102,6.800,A,20.339,0.269,4.8,0.3,20.359,0.241,5.270,1.000,1.000,-5.392
102,6.800,B,25.768,2.033,37.7,-20.8,25.751,-1.009,5.836,1.000,1.000,5.392
103,6.867,A,20.688,0.308,5.4,0.9,20.710,0.253,5.273,1.000,1.000,-5.422
103,6.867,B,26.040,2.313,40.8,-17.7,26.132,-1.095,5.833,1.000,1.000,5.422
104,6.933,A,21.036,0.360,6.5,-7.0,21.103,0.256,5.267,1.000,1.000,-5.416
104,6.933,B,26.297,2.609,43.9,-14.6,26.518,-1.160,5.831,1.000,1.000,5.416
105,7.000,A,21.381,0.428,8.1,-5.4,21.454,0.241,5.262,1.000,1.000,-5.261
105,7.000,B,26.537,2.917,47.0,-20.5,26.715,-1.238,5.828,1.000,1.000,5.261
106,7.067,A,21.722,0.513,10.1,-3.4,21.806,0.244,5.258,1.000,1.000,-5.291
106,7.067,B,26.759,3.239,50.2,-17.3,27.097,-1.320,5.825,1.000,1.000,5.291
107,7.133,A,22.059,0.614,12.4,-10.1,22.195,0.218,5.255,1.000,1.000,-5.288
