step,t,car,x,y,yaw_deg,heading_err_deg,progress_cum,lateral,speed,throttle,steer,gap_ahead
102,6.800,B,21.868,1.576,23.1,0.6,22.387,1.179,4.510,1.000,1.000,-0.989
103,6.867,A,23.829,0.528,31.5,0.0,23.701,-0.685,4.889,1.000,1.000,1.016
103,6.867,B,22.118,1.753,27.3,4.8,22.685,1.247,4.544,1.000,1.000,-1.016
104,6.933,A,24.116,0.684,33.2,-7.3,23.914,-0.734,4.881,1.000,1.000,0.726
104,6.933,B,22.357,1.948,31.3,-0.2,23.188,1.295,4.576,1.000,1.000,-0.726
105,7.000,A,24.389,0.859,34.7,-5.8,24.236,-0.778,4.871,1.000,1.000,0.744
105,7.000,B,22.582,2.162,35.3,3.8,23.492,1.360,4.605,1.000,1.000,-0.744
106,7.067,A,24.650,1.052,36.2,-4.3,24.559,-0.801,4.859,1.000,1.000,0.541
106,7.067,B,22.794,2.392,39.1,-1.4,24.018,1.423,4.632,1.000,0.939,-0.541
107,7.133,A,24.896,1.263,37.8,-11.7,24.756,-0.818,4.844,1.000,1.000,0.428
107,7.133,B,22.991,2.638,43.0,2.5,24.327,1.482,4.672,1.000,-1.000,-0.428
108,7.200,A,25.130,1.486,39.7,-9.8,25.078,-0.851,4.835,1.000,1.000,0.198
108,7.200,B,23.184,2.888,46.1,-3.4,24.880,1.540,4.724,1.000,-1.000,-0.198
109,7.267,A,25.353,1.721,42.0,-7.5,25.401,-0.867,4.834,1.000,1.000,0.204
109,7.267,B,23.377,3.141,48.1,-1.4,25.197,1.557,4.773,1.000,-1.000,-0.204
110,7.333,A,25.562,1.969,44.5,-5.0,25.649,-0.869,4.836,1.000,1.000,0.133
110,7.333,B,23.581,3.387,48.8,-0.7,25.516,1.561,4.795,0.922,-1.000,-0.133
111,7.400,A,25.757,2.229,47.3,-11.2,25.912,-0.898,4.839,1.000,1.000,-0.165
111,7.400,B,23.794,3.625,48.6,-9.9,26.077,1.506,4.798,1.000,-1.000,0.165
112,7.467,A,25.937,2.500,50.3,-8.2,26.237,-0.909,4.844,1.000,1.000,-0.152
112,7.467,B,24.016,3.855,47.7,-10.8,26.390,1.436,4.803,1.000,-0.651,0.152
113,7.533,A,26.101,2.782,53.4,-5.1,26.563,-0.901,4.850,1.000,1.000,-0.347
113,7.533,B,24.250,4.076,46.3,-21.2,26.910,1.319,4.811,1.000,-1.000,0.347
114,7.600,A,26.247,3.074,56.7,-10.8,26.749,-0.910,4.859,1.000,1.000,-0.449
114,7.600,B,24.493,4.286,44.5,-23.0,27.197,1.174,4.811,1.000,-1.000,0.449
115,7.667,A,26.376,3.375,60.0,-7.5,27.076,-0.913,4.868,1.000,1.000,-0.560
115,7.667,B,24.748,4.483,42.3,-34.2,27.636,1.010,4.812,0.622,1.000,0.560
116,7.733,A,26.485,3.685,63.5,-4.0,27.404,-0.896,4.879,0.471,1.000,-0.478
116,7.733,B,25.005,4.675,40.4,-36.1,27.882,0.805,4.796,1.000,1.000,0.478
117,7.800,A,26.633,3.976,60.9,-15.6,27.583,-0.941,4.868,1.000,1.000,-0.554
117,7.800,B,25.191,4.892,43.3,-33.2,28.137,0.676,4.240,0.459,1.000,0.554
118,7.867,A,26.784,4.264,60.0,-16.5,27.898,-1.020,4.875,0.483,1.000,-0.499
118,7.867,B,25.368,5.117,45.8,-30.7,28.398,0.556,4.283,0.652,1.000,0.499
119,7.933,A,26.930,4.549,60.8,-15.7,28.210,-1.096,4.772,1.000,1.000,-0.520
119,7.933,B,25.537,5.349,48.2,-37.3,28.730,0.410,4.221,1.000,1.000,0.520
120,8.000,A,27.065,4.838,62.1,-14.4,28.474,-1.161,4.775,1.000,1.000,-0.512
120,8.000,B,25.684,5.594,51.4,-34.1,28.985,0.283,4.237,1.000,1.000,0.512
121,8.067,A,27.192,5.134,63.7,-21.8,28.645,-1.256,4.829,1.000,1.000,-0.603
121,8.067,B,25.813,5.847,54.8,-30.7,29.248,0.175,4.199,1.000,1.000,0.603
122,8.133,A,27.305,5.437,65.5,-20.0,28.956,-1.345,4.830,1.000,1.000,-0.569
122,8.133,B,25.924,6.110,58.4,-31.6,29.525,0.076,4.232,1.000,1.000,0.569
123,8.200,A,27.403,5.745,67.8,-17.7,29.271,-1.418,4.831,1.000,1.000,-0.526
123,8.200,B,26.019,6.382,62.0,-28.0,29.797,-0.019,4.269,1.000,1.000,0.526
124,8.267,A,27.487,6.058,70.1,-19.9,29.473,-1.487,4.842,1.000,1.000,-0.604
124,8.267,B,26.095,6.663,65.8,-24.2,30.078,-0.095,4.304,0.899,1.000,0.604
125,8.333,A,27.555,6.376,72.6,-17.4,29.791,-1.555,4.854,1.000,1.000,-0.574
125,8.333,B,26.152,6.950,69.7,-20.3,30.365,-0.152,4.335,0.781,1.000,0.574
126,8.400,A,27.608,6.698,75.2,-14.8,30.113,-1.608,4.865,1.000,1.000,-0.544
126,8.400,B,26.188,7.242,73.7,-16.3,30.657,-0.188,4.347,0.872,1.000,0.544
127,8.467,A,27.646,7.023,77.9,-12.1,30.438,-1.646,4.879,1.000,1.000,-0.514
127,8.467,B,26.204,7.537,77.6,-12.4,30.953,-0.204,4.381,1.000,1.000,0.514
128,8.533,A,27.668,7.351,80.6,-9.4,30.766,-1.668,4.904,1.000,1.000,-0.484
128,8.533,B,26.200,7.836,81.6,-8.4,31.251,-0.200,4.412,1.000,1.000,0.484
129,8.600,A,27.674,7.681,83.3,-6.7,31.096,-1.674,4.914,1.000,1.000,-0.454
129,8.600,B,26.175,8.136,85.6,-4.4,31.551,-0.175,4.460,1.000,1.000,0.454
130,8.667,A,27.663,8.012,86.2,-3.8,31.427,-1.663,4.924,1.000,1.000,-0.424
130,8.667,B,26.131,8.436,89.6,-0.4,31.851,-0.131,4.500,1.000,0.032,0.424
131,8.733,A,27.632,8.341,89.2,-0.8,31.756,-1.632,4.928,1.000,1.000,-0.396
131,8.733,B,26.074,8.738,93.0,3.0,32.153,-0.074,4.575,1.000,-1.000,0.396
132,8.800,A,27.582,8.669,92.4,2.4,32.084,-1.582,4.934,1.000,1.000,-0.373
132,8.800,B,26.022,9.042,95.1,5.1,32.458,-0.022,4.636,0.375,-1.000,0.373
133,8.867,A,27.512,8.994,95.6,5.6,32.409,-1.512,4.941,1.000,1.000,-0.349
133,8.867,B,25.978,9.343,96.1,6.1,32.758,0.022,4.505,1.000,-1.000,0.349
134,8.933,A,27.421,9.315,99.0,9.0,32.730,-1.421,4.950,1.000,1.000,-0.328
134,8.933,B,25.943,9.642,96.2,6.2,33.057,0.057,4.523,1.000,-1.000,0.328
