car,step,t_s,lap,lap_dist_m,sector,x_m,y_m,lateral_m,speed_mps,accel_long_mps2,accel_lat_mps2,throttle_cmd,steer_cmd,steer_deg,gap_m
Car B,97,6.4667,1,20.542,1,20.463,1.032,0.993,4.6508,-0.7245,1.595,1.0,-0.4252,-24.982,-1.34
Car A,98,6.5333,1,22.149,1,22.249,0.034,-0.391,4.876,0.8258,1.3472,1.0,1.0,-1.846,1.296
Car B,98,6.5333,1,20.853,1,20.771,1.079,1.015,4.6813,0.4571,0.1746,1.0,-1.0,-10.651,-1.296
Car A,99,6.6,1,22.477,1,22.576,0.104,-0.451,4.9257,0.7448,2.3928,1.0,1.0,24.96,1.166
Car B,99,6.6,1,21.311,1,21.054,1.179,1.048,4.3795,-4.526,5.7007,1.0,1.0,-24.978,-1.166
Car A,100,6.6667,1,22.808,1,22.903,0.178,-0.508,4.9153,-0.1556,2.4635,1.0,1.0,24.999,1.202
Car B,100,6.6667,1,21.606,1,21.327,1.301,1.103,4.4518,1.0835,5.0913,1.0,1.0,24.925,-1.202
Car A,101,6.7333,1,23.051,1,23.222,0.275,-0.584,4.9048,-0.1571,2.3516,1.0,1.0,25.0,0.967
Car B,101,6.7333,1,22.083,1,21.599,1.433,1.151,4.5173,0.9833,4.3387,1.0,1.0,25.0,-0.967
Car A,102,6.8,1,23.375,1,23.531,0.391,-0.646,4.8963,-0.1272,2.2405,1.0,1.0,25.0,0.989
Car B,102,6.8,1,22.387,1,21.868,1.576,1.179,4.51,-0.1106,5.0357,1.0,1.0,24.978,-0.989
Car A,103,6.8667,1,23.701,1,23.829,0.528,-0.685,4.8889,-0.111,2.1354,1.0,1.0,25.0,1.016
